"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2018"	"2018"	"White"	"2106-3"	39	203660	19.1
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2019"	"2019"	"White"	"2106-3"	35	204454	17.1
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2020 "	"2020"	"White"	"2106-3"	32	205382	15.6
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	"White"	"2106-3"	16	224926	Unreliable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	"White"	"2106-3"	13	228543	Unreliable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	"White"	"2106-3"	25	235076	10.6
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	"White"	"2106-3"	16	235189	Unreliable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	"White"	"2106-3"	26	236986	11.0
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	"White"	"2106-3"	25	239477	10.4
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	"White"	"2106-3"	26	242281	10.7
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	"White"	"2106-3"	22	246393	8.9
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	"White"	"2106-3"	24	249100	9.6
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	"White"	"2106-3"	31	251274	12.3
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	"White"	"2106-3"	33	252180	13.1
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	"White"	"2106-3"	35	252403	13.9
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	"White"	"2106-3"	38	249168	15.3
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	"White"	"2106-3"	37	244754	15.1
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	"White"	"2106-3"	29	240989	12.0
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	"White"	"2106-3"	36	237891	15.1
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	"White"	"2106-3"	29	235343	12.3
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	"White"	"2106-3"	34	232779	14.6
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	"White"	"2106-3"	27	229273	11.8
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2018"	"2018"	"White"	"2106-3"	37	225775	16.4
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2019"	"2019"	"White"	"2106-3"	35	221475	15.8
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"2020 "	"2020"	"White"	"2106-3"	28	218041	12.8
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	"White"	"2106-3"	11	171646	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	"White"	"2106-3"	12	173313	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	"White"	"2106-3"	11	176604	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	"White"	"2106-3"	13	185439	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	"White"	"2106-3"	11	191883	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	"White"	"2106-3"	13	198134	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	"White"	"2106-3"	10	204396	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	"White"	"2106-3"	18	210708	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	"White"	"2106-3"	22	215768	10.2
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	"White"	"2106-3"	25	219036	11.4
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	"White"	"2106-3"	20	223914	8.9
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	"White"	"2106-3"	19	228369	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	"White"	"2106-3"	16	235054	Unreliable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	"White"	"2106-3"	22	234849	9.4
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	"White"	"2106-3"	34	236172	14.4
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	"White"	"2106-3"	23	237390	9.7
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	"White"	"2106-3"	35	239611	14.6
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	"White"	"2106-3"	41	242067	16.9
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	"White"	"2106-3"	34	243503	14.0
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2018"	"2018"	"White"	"2106-3"	28	244879	11.4
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2019"	"2019"	"White"	"2106-3"	36	245639	14.7
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"2020 "	"2020"	"White"	"2106-3"	33	245199	13.5
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2000"	"2000"	"White"	"2106-3"	10	139993	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2008"	"2008"	"White"	"2106-3"	10	153105	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2010"	"2010"	"White"	"2106-3"	13	159727	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2012"	"2012"	"White"	"2106-3"	10	172764	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2013"	"2013"	"White"	"2106-3"	11	178444	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2014"	"2014"	"White"	"2106-3"	13	184237	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2015"	"2015"	"White"	"2106-3"	14	189090	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2016"	"2016"	"White"	"2106-3"	12	193646	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2017"	"2017"	"White"	"2106-3"	13	197546	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2018"	"2018"	"White"	"2106-3"	16	200050	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2019"	"2019"	"White"	"2106-3"	12	204028	Unreliable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"2020 "	"2020"	"White"	"2106-3"	13	209790	Unreliable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"2000"	"2000"	"White"	"2106-3"	12	98444	Unreliable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"2003"	"2003"	"White"	"2106-3"	11	101121	Unreliable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"2016"	"2016"	"White"	"2106-3"	10	108196	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"1999"	"1999"	"Black or African American"	"2054-5"	22	97850	22.5
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"1999"	"1999"	"White"	"2106-3"	54	214545	25.2
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2000"	"2000"	"Black or African American"	"2054-5"	16	96991	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2000"	"2000"	"White"	"2106-3"	46	213531	21.5
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2001"	"2001"	"Black or African American"	"2054-5"	11	98985	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2001"	"2001"	"White"	"2106-3"	44	216441	20.3
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2002"	"2002"	"Black or African American"	"2054-5"	13	99754	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2002"	"2002"	"White"	"2106-3"	36	217499	16.6
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2003"	"2003"	"White"	"2106-3"	48	219153	21.9
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2004"	"2004"	"Black or African American"	"2054-5"	19	102001	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2004"	"2004"	"White"	"2106-3"	58	219849	26.4
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2005"	"2005"	"Black or African American"	"2054-5"	20	103438	19.3
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2005"	"2005"	"White"	"2106-3"	36	221256	16.3
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2006"	"2006"	"Black or African American"	"2054-5"	18	105241	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2006"	"2006"	"White"	"2106-3"	59	222818	26.5
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2007"	"2007"	"Black or African American"	"2054-5"	12	106042	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2007"	"2007"	"White"	"2106-3"	55	224273	24.5
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2008"	"2008"	"Black or African American"	"2054-5"	21	106753	19.7
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2008"	"2008"	"White"	"2106-3"	48	225868	21.3
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2009"	"2009"	"Black or African American"	"2054-5"	13	106819	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2009"	"2009"	"White"	"2106-3"	47	227585	20.7
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2010"	"2010"	"Black or African American"	"2054-5"	16	106330	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2010"	"2010"	"White"	"2106-3"	48	227918	21.1
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2011"	"2011"	"Black or African American"	"2054-5"	16	108131	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2011"	"2011"	"White"	"2106-3"	56	227453	24.6
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2012"	"2012"	"Black or African American"	"2054-5"	10	107685	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2012"	"2012"	"White"	"2106-3"	46	225836	20.4
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2013"	"2013"	"Black or African American"	"2054-5"	10	108182	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2013"	"2013"	"White"	"2106-3"	57	225800	25.2
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2014"	"2014"	"Black or African American"	"2054-5"	12	107686	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2014"	"2014"	"White"	"2106-3"	39	222839	17.5
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2015"	"2015"	"Black or African American"	"2054-5"	10	106959	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2015"	"2015"	"White"	"2106-3"	59	219221	26.9
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2016"	"2016"	"Black or African American"	"2054-5"	19	105526	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2016"	"2016"	"White"	"2106-3"	63	216152	29.1
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2017"	"2017"	"Black or African American"	"2054-5"	14	103662	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2017"	"2017"	"White"	"2106-3"	65	215410	30.2
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2018"	"2018"	"Black or African American"	"2054-5"	13	100954	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2018"	"2018"	"White"	"2106-3"	71	213658	33.2
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2019"	"2019"	"Black or African American"	"2054-5"	18	99250	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2019"	"2019"	"White"	"2106-3"	56	212467	26.4
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2020 "	"2020"	"Black or African American"	"2054-5"	12	97702	Unreliable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"2020 "	"2020"	"White"	"2106-3"	61	212564	28.7
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"1999"	"1999"	"Black or African American"	"2054-5"	13	73316	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"1999"	"1999"	"White"	"2106-3"	56	221625	25.3
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2000"	"2000"	"Black or African American"	"2054-5"	11	73157	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2000"	"2000"	"White"	"2106-3"	67	219110	30.6
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2001"	"2001"	"Black or African American"	"2054-5"	15	71658	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2001"	"2001"	"White"	"2106-3"	65	213390	30.5
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2002"	"2002"	"Black or African American"	"2054-5"	14	71562	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2002"	"2002"	"White"	"2106-3"	45	210711	21.4
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2003"	"2003"	"Black or African American"	"2054-5"	11	71995	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2003"	"2003"	"White"	"2106-3"	64	209596	30.5
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2004"	"2004"	"Black or African American"	"2054-5"	17	72720	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2004"	"2004"	"White"	"2106-3"	38	207886	18.3
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2005"	"2005"	"Black or African American"	"2054-5"	14	74048	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2005"	"2005"	"White"	"2106-3"	49	207085	23.7
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2006"	"2006"	"Black or African American"	"2054-5"	14	75721	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2006"	"2006"	"White"	"2106-3"	74	207154	35.7
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2007"	"2007"	"Black or African American"	"2054-5"	13	76754	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2007"	"2007"	"White"	"2106-3"	68	206850	32.9
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2008"	"2008"	"Black or African American"	"2054-5"	16	78214	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2008"	"2008"	"White"	"2106-3"	70	208129	33.6
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2009"	"2009"	"White"	"2106-3"	60	209864	28.6
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2010"	"2010"	"Black or African American"	"2054-5"	14	80683	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2010"	"2010"	"White"	"2106-3"	81	210492	38.5
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2011"	"2011"	"Black or African American"	"2054-5"	17	82119	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2011"	"2011"	"White"	"2106-3"	76	211472	35.9
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2012"	"2012"	"Black or African American"	"2054-5"	15	83364	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2012"	"2012"	"White"	"2106-3"	74	211611	35.0
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2013"	"2013"	"Black or African American"	"2054-5"	12	84995	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2013"	"2013"	"White"	"2106-3"	83	211864	39.2
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2014"	"2014"	"Black or African American"	"2054-5"	18	86552	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2014"	"2014"	"White"	"2106-3"	78	212565	36.7
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2015"	"2015"	"Black or African American"	"2054-5"	19	88280	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2015"	"2015"	"White"	"2106-3"	75	213746	35.1
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2016"	"2016"	"Black or African American"	"2054-5"	15	90281	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2016"	"2016"	"White"	"2106-3"	92	214594	42.9
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2017"	"2017"	"Black or African American"	"2054-5"	17	92240	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2017"	"2017"	"White"	"2106-3"	86	213950	40.2
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2018"	"2018"	"Black or African American"	"2054-5"	27	93952	28.7
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2018"	"2018"	"White"	"2106-3"	97	214160	45.3
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2019"	"2019"	"Black or African American"	"2054-5"	13	95326	Unreliable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2019"	"2019"	"White"	"2106-3"	92	215066	42.8
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2020 "	"2020"	"Black or African American"	"2054-5"	25	96592	25.9
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"2020 "	"2020"	"White"	"2106-3"	112	215875	51.9
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"1999"	"1999"	"White"	"2106-3"	91	251701	36.2
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"2000"	"2000"	"Black or African American"	"2054-5"	14	79041	Unreliable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"2000"	"2000"	"White"	"2106-3"	92	251014	36.7
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"2001"	"2001"	"White"	"2106-3"	72	247372	29.1
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"2002"	"2002"	"White"	"2106-3"	79	242919	32.5
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"2003"	"2003"	"White"	"2106-3"	71	239017	29.7
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"2004"	"2004"	"White"	"2106-3"	72	236652	30.4
