"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.0
	"Alaska"	"02"	"2017"	"2017"	200	739795	27.0
	"Alaska"	"02"	"2018"	"2018"	184	737438	25.0
	"Alaska"	"02"	"2019"	"2019"	210	731545	28.7
	"Alaska"	"02"	"2020 "	"2020"	204	731158	27.9
"Total"	"Alaska"	"02"			3476	15300884	22.7
	"Arizona"	"04"	"1999"	"1999"	766	5023823	15.2
	"Arizona"	"04"	"2000"	"2000"	783	5130632	15.3
	"Arizona"	"04"	"2001"	"2001"	762	5273477	14.4
	"Arizona"	"04"	"2002"	"2002"	884	5396255	16.4
	"Arizona"	"04"	"2003"	"2003"	840	5510364	15.2
	"Arizona"	"04"	"2004"	"2004"	879	5652404	15.6
	"Arizona"	"04"	"2005"	"2005"	944	5839077	16.2
	"Arizona"	"04"	"2006"	"2006"	976	6029141	16.2
	"Arizona"	"04"	"2007"	"2007"	1015	6167681	16.5
	"Arizona"	"04"	"2008"	"2008"	972	6280362	15.5
	"Arizona"	"04"	"2009"	"2009"	1058	6343154	16.7
	"Arizona"	"04"	"2010"	"2010"	1092	6392017	17.1
	"Arizona"	"04"	"2011"	"2011"	1160	6482505	17.9
	"Arizona"	"04"	"2012"	"2012"	1151	6553255	17.6
	"Arizona"	"04"	"2013"	"2013"	1162	6626624	17.5
	"Arizona"	"04"	"2014"	"2014"	1241	6731484	18.4
	"Arizona"	"04"	"2015"	"2015"	1276	6828065	18.7
	"Arizona"	"04"	"2016"	"2016"	1269	6931071	18.3
	"Arizona"	"04"	"2017"	"2017"	1325	7016270	18.9
	"Arizona"	"04"	"2018"	"2018"	1436	7171646	20.0
	"Arizona"	"04"	"2019"	"2019"	1417	7278717	19.5
	"Arizona"	"04"	"2020 "	"2020"	1363	7421401	18.4
"Total"	"Arizona"	"04"			23771	138079425	17.2
	"Arkansas"	"05"	"1999"	"1999"	336	2651860	12.7
	"Arkansas"	"05"	"2000"	"2000"	349	2673400	13.1
	"Arkansas"	"05"	"2001"	"2001"	382	2691571	14.2
	"Arkansas"	"05"	"2002"	"2002"	376	2705927	13.9
	"Arkansas"	"05"	"2003"	"2003"	372	2724816	13.7
	"Arkansas"	"05"	"2004"	"2004"	361	2749686	13.1
	"Arkansas"	"05"	"2005"	"2005"	400	2781097	14.4
	"Arkansas"	"05"	"2006"	"2006"	371	2821761	13.1
	"Arkansas"	"05"	"2007"	"2007"	402	2848650	14.1
	"Arkansas"	"05"	"2008"	"2008"	446	2874554	15.5
	"Arkansas"	"05"	"2009"	"2009"	422	2896843	14.6
	"Arkansas"	"05"	"2010"	"2010"	447	2915918	15.3
	"Arkansas"	"05"	"2011"	"2011"	461	2937979	15.7
	"Arkansas"	"05"	"2012"	"2012"	485	2949131	16.4
	"Arkansas"	"05"	"2013"	"2013"	515	2959373	17.4
	"Arkansas"	"05"	"2014"	"2014"	514	2966369	17.3
	"Arkansas"	"05"	"2015"	"2015"	577	2978204	19.4
	"Arkansas"	"05"	"2016"	"2016"	553	2988248	18.5
	"Arkansas"	"05"	"2017"	"2017"	631	3004279	21.0
	"Arkansas"	"05"	"2018"	"2018"	554	3013825	18.4
	"Arkansas"	"05"	"2019"	"2019"	548	3017804	18.2
	"Arkansas"	"05"	"2020 "	"2020"	583	3030522	19.2
"Total"	"Arkansas"	"05"			10085	63181817	16.0
	"California"	"06"	"1999"	"1999"	3069	33499204	9.2
	"California"	"06"	"2000"	"2000"	2963	33871648	8.7
	"California"	"06"	"2001"	"2001"	2819	34479458	8.2
	"California"	"06"	"2002"	"2002"	3218	34871843	9.2
	"California"	"06"	"2003"	"2003"	3391	35253159	9.6
	"California"	"06"	"2004"	"2004"	3349	35574576	9.4
	"California"	"06"	"2005"	"2005"	3195	35827943	8.9
	"California"	"06"	"2006"	"2006"	3323	36021202	9.2
	"California"	"06"	"2007"	"2007"	3586	36250311	9.9
	"California"	"06"	"2008"	"2008"	3765	36604337	10.3
	"California"	"06"	"2009"	"2009"	3810	36961229	10.3
	"California"	"06"	"2010"	"2010"	3904	37253956	10.5
	"California"	"06"	"2011"	"2011"	3990	37691912	10.6
	"California"	"06"	"2012"	"2012"	3887	38041430	10.2
	"California"	"06"	"2013"	"2013"	4012	38332521	10.5
	"California"	"06"	"2014"	"2014"	4205	38802500	10.8
	"California"	"06"	"2015"	"2015"	4165	39144818	10.6
	"California"	"06"	"2016"	"2016"	4277	39250017	10.9
	"California"	"06"	"2017"	"2017"	4300	39536653	10.9
	"California"	"06"	"2018"	"2018"	4484	39557045	11.3
	"California"	"06"	"2019"	"2019"	4430	39512223	11.2
	"California"	"06"	"2020 "	"2020"	4141	39368078	10.5
"Total"	"California"	"06"			82283	815706063	10.1
	"Colorado"	"08"	"1999"	"1999"	574	4226018	13.6
	"Colorado"	"08"	"2000"	"2000"	613	4301261	14.3
	"Colorado"	"08"	"2001"	"2001"	722	4425687	16.3
	"Colorado"	"08"	"2002"	"2002"	726	4490406	16.2
	"Colorado"	"08"	"2003"	"2003"	728	4528732	16.1
	"Colorado"	"08"	"2004"	"2004"	796	4575013	17.4
	"Colorado"	"08"	"2005"	"2005"	799	4631888	17.2
	"Colorado"	"08"	"2006"	"2006"	730	4720423	15.5
	"Colorado"	"08"	"2007"	"2007"	811	4803868	16.9
	"Colorado"	"08"	"2008"	"2008"	801	4889730	16.4
	"Colorado"	"08"	"2009"	"2009"	941	4972195	18.9
	"Colorado"	"08"	"2010"	"2010"	865	5029196	17.2
	"Colorado"	"08"	"2011"	"2011"	910	5116796	17.8
	"Colorado"	"08"	"2012"	"2012"	1049	5187582	20.2
	"Colorado"	"08"	"2013"	"2013"	1007	5268367	19.1
	"Colorado"	"08"	"2014"	"2014"	1080	5355866	20.2
	"Colorado"	"08"	"2015"	"2015"	1093	5456574	20.0
	"Colorado"	"08"	"2016"	"2016"	1167	5540545	21.1
	"Colorado"	"08"	"2017"	"2017"	1178	5607154	21.0
	"Colorado"	"08"	"2018"	"2018"	1282	5695564	22.5
	"Colorado"	"08"	"2019"	"2019"	1311	5758736	22.8
	"Colorado"	"08"	"2020 "	"2020"	1300	5807719	22.4
"Total"	"Colorado"	"08"			20483	110389320	18.6
	"Connecticut"	"09"	"1999"	"1999"	274	3386401	8.1
	"Connecticut"	"09"	"2000"	"2000"	304	3405565	8.9
	"Connecticut"	"09"	"2001"	"2001"	282	3432835	8.2
	"Connecticut"	"09"	"2002"	"2002"	260	3458749	7.5
	"Connecticut"	"09"	"2003"	"2003"	272	3484336	7.8
	"Connecticut"	"09"	"2004"	"2004"	293	3496094	8.4
	"Connecticut"	"09"	"2005"	"2005"	293	3506956	8.4
	"Connecticut"	"09"	"2006"	"2006"	291	3517460	8.3
	"Connecticut"	"09"	"2007"	"2007"	270	3527270	7.7
	"Connecticut"	"09"	"2008"	"2008"	314	3545579	8.9
	"Connecticut"	"09"	"2009"	"2009"	316	3561807	8.9
	"Connecticut"	"09"	"2010"	"2010"	353	3574097	9.9
	"Connecticut"	"09"	"2011"	"2011"	370	3580709	10.3
	"Connecticut"	"09"	"2012"	"2012"	367	3590347	10.2
	"Connecticut"	"09"	"2013"	"2013"	330	3596080	9.2
	"Connecticut"	"09"	"2014"	"2014"	378	3596677	10.5
	"Connecticut"	"09"	"2015"	"2015"	384	3590886	10.7
	"Connecticut"	"09"	"2016"	"2016"	396	3576452	11.1
	"Connecticut"	"09"	"2017"	"2017"	405	3588184	11.3
	"Connecticut"	"09"	"2018"	"2018"	419	3572665	11.7
	"Connecticut"	"09"	"2019"	"2019"	435	3565287	12.2
	"Connecticut"	"09"	"2020 "	"2020"	364	3557006	10.2
"Total"	"Connecticut"	"09"			7370	77711442	9.5
	"Delaware"	"10"	"1999"	"1999"	86	774990	11.1
	"Delaware"	"10"	"2000"	"2000"	82	783600	10.5
	"Delaware"	"10"	"2001"	"2001"	107	795699	13.4
	"Delaware"	"10"	"2002"	"2002"	74	806169	9.2
	"Delaware"	"10"	"2003"	"2003"	94	818003	11.5
	"Delaware"	"10"	"2004"	"2004"	93	830803	11.2
	"Delaware"	"10"	"2005"	"2005"	83	845150	9.8
	"Delaware"	"10"	"2006"	"2006"	90	859268	10.5
	"Delaware"	"10"	"2007"	"2007"	95	871749	10.9
	"Delaware"	"10"	"2008"	"2008"	109	883874	12.3
	"Delaware"	"10"	"2009"	"2009"	107	891730	12.0
	"Delaware"	"10"	"2010"	"2010"	106	897934	11.8
	"Delaware"	"10"	"2011"	"2011"	105	907135	11.6
	"Delaware"	"10"	"2012"	"2012"	125	917092	13.6
	"Delaware"	"10"	"2013"	"2013"	122	925749	13.2
	"Delaware"	"10"	"2014"	"2014"	126	935614	13.5
	"Delaware"	"10"	"2015"	"2015"	122	945934	12.9
	"Delaware"	"10"	"2016"	"2016"	119	952065	12.5
	"Delaware"	"10"	"2017"	"2017"	112	961939	11.6
	"Delaware"	"10"	"2018"	"2018"	113	967171	11.7
	"Delaware"	"10"	"2019"	"2019"	111	973764	11.4
	"Delaware"	"10"	"2020 "	"2020"	124	986809	12.6
"Total"	"Delaware"	"10"			2305	19532241	11.8
	"District of Columbia"	"11"	"1999"	"1999"	30	570213	5.3
	"District of Columbia"	"11"	"2000"	"2000"	23	572059	4.0
	"District of Columbia"	"11"	"2001"	"2001"	40	574504	7.0
	"District of Columbia"	"11"	"2002"	"2002"	31	573158	5.4
	"District of Columbia"	"11"	"2003"	"2003"	36	568502	6.3
	"District of Columbia"	"11"	"2004"	"2004"	33	567754	5.8
	"District of Columbia"	"11"	"2005"	"2005"	32	567136	5.6
	"District of Columbia"	"11"	"2006"	"2006"	30	570681	5.3
	"District of Columbia"	"11"	"2007"	"2007"	35	574404	6.1
	"District of Columbia"	"11"	"2008"	"2008"	43	580236	7.4
	"District of Columbia"	"11"	"2009"	"2009"	29	592228	4.9
	"District of Columbia"	"11"	"2010"	"2010"	41	601723	6.8
	"District of Columbia"	"11"	"2011"	"2011"	37	617996	6.0
	"District of Columbia"	"11"	"2012"	"2012"	37	632323	5.9
	"District of Columbia"	"11"	"2013"	"2013"	38	646449	5.9
	"District of Columbia"	"11"	"2014"	"2014"	52	658893	7.9
	"District of Columbia"	"11"	"2015"	"2015"	34	672228	5.1
	"District of Columbia"	"11"	"2016"	"2016"	40	681170	5.9
	"District of Columbia"	"11"	"2017"	"2017"	47	693972	6.8
	"District of Columbia"	"11"	"2018"	"2018"	54	702455	7.7
	"District of Columbia"	"11"	"2019"	"2019"	44	705749	6.2
	"District of Columbia"	"11"	"2020 "	"2020"	38	712816	5.3
"Total"	"District of Columbia"	"11"			824	13636649	6.0
	"Florida"	"12"	"1999"	"1999"	2027	15759421	12.9
	"Florida"	"12"	"2000"	"2000"	2086	15982378	13.1
	"Florida"	"12"	"2001"	"2001"	2309	16356966	14.1
	"Florida"	"12"	"2002"	"2002"	2334	16689370	14.0
	"Florida"	"12"	"2003"	"2003"	2292	17004085	13.5
	"Florida"	"12"	"2004"	"2004"	2384	17415318	13.7
	"Florida"	"12"	"2005"	"2005"	2338	17842038	13.1
	"Florida"	"12"	"2006"	"2006"	2426	18166990	13.4
	"Florida"	"12"	"2007"	"2007"	2583	18367842	14.1
	"Florida"	"12"	"2008"	"2008"	2737	18527305	14.8
	"Florida"	"12"	"2009"	"2009"	2852	18652644	15.3
	"Florida"	"12"	"2010"	"2010"	2786	18801310	14.8
	"Florida"	"12"	"2011"	"2011"	2876	19057542	15.1
	"Florida"	"12"	"2012"	"2012"	2998	19317568	15.5
	"Florida"	"12"	"2013"	"2013"	2918	19552860	14.9
	"Florida"	"12"	"2014"	"2014"	3029	19893297	15.2
	"Florida"	"12"	"2015"	"2015"	3200	20271272	15.8
	"Florida"	"12"	"2016"	"2016"	3137	20612439	15.2
	"Florida"	"12"	"2017"	"2017"	3219	20984400	15.3
	"Florida"	"12"	"2018"	"2018"	3564	21299325	16.7
	"Florida"	"12"	"2019"	"2019"	3462	21477737	16.1
	"Florida"	"12"	"2020 "	"2020"	3127	21733312	14.4
"Total"	"Florida"	"12"			60684	413765419	14.7
	"Georgia"	"13"	"1999"	"1999"	872	8045965	10.8
	"Georgia"	"13"	"2000"	"2000"	846	8186453	10.3
	"Georgia"	"13"	"2001"	"2001"	931	8377038	11.1
	"Georgia"	"13"	"2002"	"2002"	903	8508256	10.6
	"Georgia"	"13"	"2003"	"2003"	963	8622793	11.2
	"Georgia"	"13"	"2004"	"2004"	966	8769252	11.0
	"Georgia"	"13"	"2005"	"2005"	924	8925922	10.4
	"Georgia"	"13"	"2006"	"2006"	921	9155813	10.1
	"Georgia"	"13"	"2007"	"2007"	996	9349988	10.7
	"Georgia"	"13"	"2008"	"2008"	980	9504843	10.3
	"Georgia"	"13"	"2009"	"2009"	1132	9620846	11.8
	"Georgia"	"13"	"2010"	"2010"	1129	9687653	11.7
	"Georgia"	"13"	"2011"	"2011"	1157	9815210	11.8
	"Georgia"	"13"	"2012"	"2012"	1165	9919945	11.7
	"Georgia"	"13"	"2013"	"2013"	1203	9992167	12.0
	"Georgia"	"13"	"2014"	"2014"	1292	10097343	12.8
	"Georgia"	"13"	"2015"	"2015"	1317	10214860	12.9
	"Georgia"	"13"	"2016"	"2016"	1403	10310371	13.6
	"Georgia"	"13"	"2017"	"2017"	1450	10429379	13.9
	"Georgia"	"13"	"2018"	"2018"	1569	10519475	14.9
	"Georgia"	"13"	"2019"	"2019"	1584	10617423	14.9
	"Georgia"	"13"	"2020 "	"2020"	1490	10710017	13.9
"Total"	"Georgia"	"13"			25193	209381012	12.0
	"Hawaii"	"15"	"1999"	"1999"	136	1210300	11.2
	"Hawaii"	"15"	"2000"	"2000"	137	1211537	11.3
	"Hawaii"	"15"	"2001"	"2001"	136	1225948	11.1
	"Hawaii"	"15"	"2002"	"2002"	120	1239613	9.7
	"Hawaii"	"15"	"2003"	"2003"	130	1251154	10.4
	"Hawaii"	"15"	"2004"	"2004"	116	1273569	9.1
	"Hawaii"	"15"	"2005"	"2005"	107	1292729	8.3
	"Hawaii"	"15"	"2006"	"2006"	120	1309731	9.2
	"Hawaii"	"15"	"2007"	"2007"	133	1315675	10.1
	"Hawaii"	"15"	"2008"	"2008"	133	1332213	10.0
	"Hawaii"	"15"	"2009"	"2009"	174	1346717	12.9
	"Hawaii"	"15"	"2010"	"2010"	207	1360301	15.2
	"Hawaii"	"15"	"2011"	"2011"	180	1374810	13.1
	"Hawaii"	"15"	"2012"	"2012"	190	1392313	13.6
	"Hawaii"	"15"	"2013"	"2013"	171	1404054	12.2
	"Hawaii"	"15"	"2014"	"2014"	204	1419561	14.4
	"Hawaii"	"15"	"2015"	"2015"	201	1431603	14.0
	"Hawaii"	"15"	"2016"	"2016"	174	1428557	12.2
	"Hawaii"	"15"	"2017"	"2017"	227	1427538	15.9
	"Hawaii"	"15"	"2018"	"2018"	176	1420491	12.4
	"Hawaii"	"15"	"2019"	"2019"	224	1415872	15.8
	"Hawaii"	"15"	"2020 "	"2020"	183	1407006	13.0
"Total"	"Hawaii"	"15"			3579	29491292	12.1
	"Idaho"	"16"	"1999"	"1999"	181	1275674	14.2
	"Idaho"	"16"	"2000"	"2000"	166	1293953	12.8
	"Idaho"	"16"	"2001"	"2001"	209	1319962	15.8
	"Idaho"	"16"	"2002"	"2002"	202	1340372	15.1
	"Idaho"	"16"	"2003"	"2003"	216	1363380	15.8
	"Idaho"	"16"	"2004"	"2004"	236	1391802	17.0
	"Idaho"	"16"	"2005"	"2005"	228	1428241	16.0
	"Idaho"	"16"	"2006"	"2006"	222	1468669	15.1
	"Idaho"	"16"	"2007"	"2007"	223	1505105	14.8
	"Idaho"	"16"	"2008"	"2008"	252	1534320	16.4
	"Idaho"	"16"	"2009"	"2009"	304	1554439	19.6
	"Idaho"	"16"	"2010"	"2010"	290	1567582	18.5
	"Idaho"	"16"	"2011"	"2011"	281	1584985	17.7
	"Idaho"	"16"	"2012"	"2012"	297	1595728	18.6
	"Idaho"	"16"	"2013"	"2013"	308	1612136	19.1
	"Idaho"	"16"	"2014"	"2014"	320	1634464	19.6
	"Idaho"	"16"	"2015"	"2015"	359	1654930	21.7
	"Idaho"	"16"	"2016"	"2016"	351	1683140	20.9
	"Idaho"	"16"	"2017"	"2017"	392	1716943	22.8
	"Idaho"	"16"	"2018"	"2018"	417	1754208	23.8
	"Idaho"	"16"	"2019"	"2019"	365	1787065	20.4
	"Idaho"	"16"	"2020 "	"2020"	419	1826913	22.9
"Total"	"Idaho"	"16"			6238	33894011	18.4
	"Illinois"	"17"	"1999"	"1999"	1020	12359020	8.3
	"Illinois"	"17"	"2000"	"2000"	1002	12419293	8.1
	"Illinois"	"17"	"2001"	"2001"	1138	12488445	9.1
	"Illinois"	"17"	"2002"	"2002"	1140	12525556	9.1
	"Illinois"	"17"	"2003"	"2003"	1007	12556006	8.0
	"Illinois"	"17"	"2004"	"2004"	1026	12589773	8.1
	"Illinois"	"17"	"2005"	"2005"	1084	12609903	8.6
	"Illinois"	"17"	"2006"	"2006"	1008	12643955	8.0
	"Illinois"	"17"	"2007"	"2007"	1106	12695866	8.7
	"Illinois"	"17"	"2008"	"2008"	1197	12747038	9.4
	"Illinois"	"17"	"2009"	"2009"	1176	12796778	9.2
	"Illinois"	"17"	"2010"	"2010"	1177	12830632	9.2
	"Illinois"	"17"	"2011"	"2011"	1221	12869257	9.5
	"Illinois"	"17"	"2012"	"2012"	1291	12875255	10.0
	"Illinois"	"17"	"2013"	"2013"	1319	12882135	10.2
	"Illinois"	"17"	"2014"	"2014"	1396	12880580	10.8
	"Illinois"	"17"	"2015"	"2015"	1361	12859995	10.6
	"Illinois"	"17"	"2016"	"2016"	1413	12801539	11.0
	"Illinois"	"17"	"2017"	"2017"	1472	12802023	11.5
	"Illinois"	"17"	"2018"	"2018"	1487	12741080	11.7
	"Illinois"	"17"	"2019"	"2019"	1438	12671821	11.3
	"Illinois"	"17"	"2020 "	"2020"	1361	12587530	10.8
"Total"	"Illinois"	"17"			26840	279233480	9.6
	"Indiana"	"18"	"1999"	"1999"	628	6044969	10.4
	"Indiana"	"18"	"2000"	"2000"	682	6080485	11.2
	"Indiana"	"18"	"2001"	"2001"	715	6127760	11.7
	"Indiana"	"18"	"2002"	"2002"	743	6155967	12.1
	"Indiana"	"18"	"2003"	"2003"	736	6196638	11.9
	"Indiana"	"18"	"2004"	"2004"	703	6233007	11.3
	"Indiana"	"18"	"2005"	"2005"	745	6278616	11.9
	"Indiana"	"18"	"2006"	"2006"	822	6332669	13.0
	"Indiana"	"18"	"2007"	"2007"	790	6379599	12.4
	"Indiana"	"18"	"2008"	"2008"	809	6424806	12.6
	"Indiana"	"18"	"2009"	"2009"	826	6459325	12.8
	"Indiana"	"18"	"2010"	"2010"	864	6483802	13.3
	"Indiana"	"18"	"2011"	"2011"	878	6516922	13.5
	"Indiana"	"18"	"2012"	"2012"	940	6537334	14.4
	"Indiana"	"18"	"2013"	"2013"	943	6570902	14.4
	"Indiana"	"18"	"2014"	"2014"	947	6596855	14.4
	"Indiana"	"18"	"2015"	"2015"	959	6619680	14.5
	"Indiana"	"18"	"2016"	"2016"	1033	6633053	15.6
	"Indiana"	"18"	"2017"	"2017"	1092	6666818	16.4
	"Indiana"	"18"	"2018"	"2018"	1079	6691878	16.1
	"Indiana"	"18"	"2019"	"2019"	972	6732219	14.4
	"Indiana"	"18"	"2020 "	"2020"	1024	6754953	15.2
"Total"	"Indiana"	"18"			18930	141518257	13.4
	"Iowa"	"19"	"1999"	"1999"	305	2917634	10.5
	"Iowa"	"19"	"2000"	"2000"	289	2926324	9.9
	"Iowa"	"19"	"2001"	"2001"	303	2931997	10.3
	"Iowa"	"19"	"2002"	"2002"	314	2934234	10.7
	"Iowa"	"19"	"2003"	"2003"	352	2941999	12.0
	"Iowa"	"19"	"2004"	"2004"	343	2953635	11.6
	"Iowa"	"19"	"2005"	"2005"	332	2964454	11.2
	"Iowa"	"19"	"2006"	"2006"	334	2982644	11.2
	"Iowa"	"19"	"2007"	"2007"	322	2999212	10.7
	"Iowa"	"19"	"2008"	"2008"	380	3016734	12.6
	"Iowa"	"19"	"2009"	"2009"	361	3032870	11.9
	"Iowa"	"19"	"2010"	"2010"	371	3046355	12.2
	"Iowa"	"19"	"2011"	"2011"	422	3062309	13.8
	"Iowa"	"19"	"2012"	"2012"	383	3074186	12.5
	"Iowa"	"19"	"2013"	"2013"	447	3090416	14.5
	"Iowa"	"19"	"2014"	"2014"	407	3107126	13.1
	"Iowa"	"19"	"2015"	"2015"	432	3123899	13.8
	"Iowa"	"19"	"2016"	"2016"	450	3134693	14.4
	"Iowa"	"19"	"2017"	"2017"	478	3145711	15.2
	"Iowa"	"19"	"2018"	"2018"	490	3156145	15.5
	"Iowa"	"19"	"2019"	"2019"	527	3155070	16.7
	"Iowa"	"19"	"2020 "	"2020"	552	3163561	17.4
"Total"	"Iowa"	"19"			8594	66861208	12.9
	"Kansas"	"20"	"1999"	"1999"	299	2678338	11.2
	"Kansas"	"20"	"2000"	"2000"	325	2688418	12.1
	"Kansas"	"20"	"2001"	"2001"	292	2702162	10.8
	"Kansas"	"20"	"2002"	"2002"	344	2713535	12.7
	"Kansas"	"20"	"2003"	"2003"	347	2723004	12.7
	"Kansas"	"20"	"2004"	"2004"	370	2734373	13.5
	"Kansas"	"20"	"2005"	"2005"	361	2745299	13.1
	"Kansas"	"20"	"2006"	"2006"	379	2762931	13.7
	"Kansas"	"20"	"2007"	"2007"	382	2783785	13.7
	"Kansas"	"20"	"2008"	"2008"	337	2808076	12.0
	"Kansas"	"20"	"2009"	"2009"	381	2832704	13.5
	"Kansas"	"20"	"2010"	"2010"	401	2853118	14.1
	"Kansas"	"20"	"2011"	"2011"	394	2871238	13.7
	"Kansas"	"20"	"2012"	"2012"	502	2885905	17.4
	"Kansas"	"20"	"2013"	"2013"	424	2893957	14.7
	"Kansas"	"20"	"2014"	"2014"	455	2904021	15.7
	"Kansas"	"20"	"2015"	"2015"	477	2911641	16.4
	"Kansas"	"20"	"2016"	"2016"	514	2907289	17.7
	"Kansas"	"20"	"2017"	"2017"	552	2913123	18.9
	"Kansas"	"20"	"2018"	"2018"	556	2911505	19.1
	"Kansas"	"20"	"2019"	"2019"	523	2913314	18.0
	"Kansas"	"20"	"2020 "	"2020"	530	2913805	18.2
"Total"	"Kansas"	"20"			9145	62051541	14.7
	"Kentucky"	"21"	"1999"	"1999"	470	4018053	11.7
	"Kentucky"	"21"	"2000"	"2000"	520	4041769	12.9
	"Kentucky"	"21"	"2001"	"2001"	492	4068132	12.1
	"Kentucky"	"21"	"2002"	"2002"	539	4089875	13.2
	"Kentucky"	"21"	"2003"	"2003"	567	4117170	13.8
	"Kentucky"	"21"	"2004"	"2004"	560	4146101	13.5
	"Kentucky"	"21"	"2005"	"2005"	566	4182742	13.5
	"Kentucky"	"21"	"2006"	"2006"	619	4219239	14.7
	"Kentucky"	"21"	"2007"	"2007"	649	4256672	15.2
	"Kentucky"	"21"	"2008"	"2008"	611	4289878	14.2
	"Kentucky"	"21"	"2009"	"2009"	592	4317074	13.7
	"Kentucky"	"21"	"2010"	"2010"	631	4339367	14.5
	"Kentucky"	"21"	"2011"	"2011"	675	4369356	15.4
	"Kentucky"	"21"	"2012"	"2012"	722	4380415	16.5
	"Kentucky"	"21"	"2013"	"2013"	698	4395295	15.9
	"Kentucky"	"21"	"2014"	"2014"	728	4413457	16.5
	"Kentucky"	"21"	"2015"	"2015"	775	4425092	17.5
	"Kentucky"	"21"	"2016"	"2016"	756	4436974	17.0
	"Kentucky"	"21"	"2017"	"2017"	766	4454189	17.2
	"Kentucky"	"21"	"2018"	"2018"	800	4468402	17.9
	"Kentucky"	"21"	"2019"	"2019"	756	4467673	16.9
	"Kentucky"	"21"	"2020 "	"2020"	801	4477251	17.9
"Total"	"Kentucky"	"21"			14293	94374176	15.1
	"Louisiana"	"22"	"1999"	"1999"	518	4460811	11.6
	"Louisiana"	"22"	"2000"	"2000"	467	4468976	10.4
	"Louisiana"	"22"	"2001"	"2001"	491	4477875	11.0
	"Louisiana"	"22"	"2002"	"2002"	497	4497267	11.1
	"Louisiana"	"22"	"2003"	"2003"	460	4521042	10.2
	"Louisiana"	"22"	"2004"	"2004"	537	4552238	11.8
	"Louisiana"	"22"	"2005"	"2005"	505	4576628	11.0
	"Louisiana"	"22"	"2006"	"2006"	490	4302665	11.4
	"Louisiana"	"22"	"2007"	"2007"	521	4375581	11.9
	"Louisiana"	"22"	"2008"	"2008"	531	4435586	12.0
	"Louisiana"	"22"	"2009"	"2009"	490	4491648	10.9
	"Louisiana"	"22"	"2010"	"2010"	557	4533372	12.3
	"Louisiana"	"22"	"2011"	"2011"	571	4574836	12.5
	"Louisiana"	"22"	"2012"	"2012"	567	4601893	12.3
	"Louisiana"	"22"	"2013"	"2013"	581	4625470	12.6
	"Louisiana"	"22"	"2014"	"2014"	678	4649676	14.6
	"Louisiana"	"22"	"2015"	"2015"	721	4670724	15.4
	"Louisiana"	"22"	"2016"	"2016"	676	4681666	14.4
	"Louisiana"	"22"	"2017"	"2017"	720	4684333	15.4
