"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"71 years"	"71"	249	1830815	13.6
	"1999"	"1999"	"72 years"	"72"	269	1751382	15.4
	"1999"	"1999"	"73 years"	"73"	254	1714390	14.8
	"1999"	"1999"	"74 years"	"74"	242	1708289	14.2
	"1999"	"1999"	"75 years"	"75"	271	1637734	16.5
	"1999"	"1999"	"76 years"	"76"	275	1539287	17.9
	"1999"	"1999"	"77 years"	"77"	256	1499362	17.1
	"1999"	"1999"	"78 years"	"78"	236	1407240	16.8
	"1999"	"1999"	"79 years"	"79"	241	1258983	19.1
	"1999"	"1999"	"80 years"	"80"	202	1189382	17.0
	"1999"	"1999"	"81 years"	"81"	208	1047265	19.9
	"1999"	"1999"	"82 years"	"82"	200	972176	20.6
	"1999"	"1999"	"83 years"	"83"	168	875092	19.2
	"1999"	"1999"	"84 years"	"84"	159	798393	19.9
	"1999"	"1999"	"85 years"	"85"	144	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	155	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	104	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	106	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	71	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	62	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	36	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	41	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	23	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	20	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	16	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	11	Not Applicable	Not Applicable
	"2000"	"2000"	"10 years"	"10"	14	4274056	Unreliable
	"2000"	"2000"	"11 years"	"11"	24	4115093	0.6
	"2000"	"2000"	"12 years"	"12"	43	4075842	1.1
	"2000"	"2000"	"13 years"	"13"	94	4010850	2.3
	"2000"	"2000"	"14 years"	"14"	125	4052231	3.1
	"2000"	"2000"	"15 years"	"15"	181	4019404	4.5
	"2000"	"2000"	"16 years"	"16"	280	3975021	7.0
	"2000"	"2000"	"17 years"	"17"	318	4046012	7.9
	"2000"	"2000"	"18 years"	"18"	403	4051598	9.9
	"2000"	"2000"	"19 years"	"19"	434	4127855	10.5
	"2000"	"2000"	"20 years"	"20"	472	4049448	11.7
	"2000"	"2000"	"21 years"	"21"	504	3841082	13.1
	"2000"	"2000"	"22 years"	"22"	471	3758648	12.5
	"2000"	"2000"	"23 years"	"23"	471	3673582	12.8
	"2000"	"2000"	"24 years"	"24"	454	3641241	12.5
	"2000"	"2000"	"25 years"	"25"	457	3744539	12.2
	"2000"	"2000"	"26 years"	"26"	433	3619660	12.0
	"2000"	"2000"	"27 years"	"27"	474	3789800	12.5
	"2000"	"2000"	"28 years"	"28"	465	3984812	11.7
	"2000"	"2000"	"29 years"	"29"	511	4242525	12.0
	"2000"	"2000"	"30 years"	"30"	499	4289970	11.6
	"2000"	"2000"	"31 years"	"31"	485	4011575	12.1
	"2000"	"2000"	"32 years"	"32"	482	3994121	12.1
	"2000"	"2000"	"33 years"	"33"	467	4026573	11.6
	"2000"	"2000"	"34 years"	"34"	516	4188149	12.3
	"2000"	"2000"	"35 years"	"35"	561	4516118	12.4
	"2000"	"2000"	"36 years"	"36"	630	4511168	14.0
	"2000"	"2000"	"37 years"	"37"	597	4517060	13.2
	"2000"	"2000"	"38 years"	"38"	673	4553814	14.8
	"2000"	"2000"	"39 years"	"39"	648	4608504	14.1
	"2000"	"2000"	"40 years"	"40"	750	4711434	15.9
	"2000"	"2000"	"41 years"	"41"	669	4466676	15.0
	"2000"	"2000"	"42 years"	"42"	696	4547220	15.3
	"2000"	"2000"	"43 years"	"43"	653	4407870	14.8
	"2000"	"2000"	"44 years"	"44"	675	4308663	15.7
	"2000"	"2000"	"45 years"	"45"	647	4341460	14.9
	"2000"	"2000"	"46 years"	"46"	579	4087563	14.2
	"2000"	"2000"	"47 years"	"47"	619	4019692	15.4
	"2000"	"2000"	"48 years"	"48"	569	3885145	14.6
	"2000"	"2000"	"49 years"	"49"	569	3758544	15.1
	"2000"	"2000"	"50 years"	"50"	527	3808515	13.8
	"2000"	"2000"	"51 years"	"51"	540	3616997	14.9
	"2000"	"2000"	"52 years"	"52"	484	3707436	13.1
	"2000"	"2000"	"53 years"	"53"	516	3635040	14.2
	"2000"	"2000"	"54 years"	"54"	379	2817560	13.5
	"2000"	"2000"	"55 years"	"55"	371	2850600	13.0
	"2000"	"2000"	"56 years"	"56"	331	2837452	11.7
	"2000"	"2000"	"57 years"	"57"	362	2864020	12.6
	"2000"	"2000"	"58 years"	"58"	299	2540152	11.8
	"2000"	"2000"	"59 years"	"59"	344	2377013	14.5
	"2000"	"2000"	"60 years"	"60"	260	2319944	11.2
	"2000"	"2000"	"61 years"	"61"	252	2221227	11.3
	"2000"	"2000"	"62 years"	"62"	249	2171072	11.5
	"2000"	"2000"	"63 years"	"63"	236	2053151	11.5
	"2000"	"2000"	"64 years"	"64"	239	2040053	11.7
	"2000"	"2000"	"65 years"	"65"	202	2029911	10.0
	"2000"	"2000"	"66 years"	"66"	190	1860320	10.2
	"2000"	"2000"	"67 years"	"67"	218	1896451	11.5
	"2000"	"2000"	"68 years"	"68"	248	1864515	13.3
	"2000"	"2000"	"69 years"	"69"	214	1882348	11.4
	"2000"	"2000"	"70 years"	"70"	223	1875175	11.9
	"2000"	"2000"	"71 years"	"71"	276	1788269	15.4
	"2000"	"2000"	"72 years"	"72"	253	1791696	14.1
	"2000"	"2000"	"73 years"	"73"	255	1725168	14.8
	"2000"	"2000"	"74 years"	"74"	211	1677133	12.6
	"2000"	"2000"	"75 years"	"75"	262	1651641	15.9
	"2000"	"2000"	"76 years"	"76"	248	1556567	15.9
	"2000"	"2000"	"77 years"	"77"	262	1460781	17.9
	"2000"	"2000"	"78 years"	"78"	229	1431916	16.0
	"2000"	"2000"	"79 years"	"79"	226	1314908	17.2
	"2000"	"2000"	"80 years"	"80"	229	1207365	19.0
	"2000"	"2000"	"81 years"	"81"	177	1072048	16.5
	"2000"	"2000"	"82 years"	"82"	230	981562	23.4
	"2000"	"2000"	"83 years"	"83"	169	883063	19.1
	"2000"	"2000"	"84 years"	"84"	149	801329	18.6
	"2000"	"2000"	"85 years"	"85"	152	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	128	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	124	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	107	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	79	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	66	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	49	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	32	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	36	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	22	Not Applicable	Not Applicable
	"2000"	"2000"	"95 years"	"95"	10	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	11	Not Applicable	Not Applicable
	"2001"	"2001"	"11 years"	"11"	24	4344913	0.6
	"2001"	"2001"	"12 years"	"12"	39	4183955	0.9
	"2001"	"2001"	"13 years"	"13"	84	4113191	2.0
	"2001"	"2001"	"14 years"	"14"	122	4059370	3.0
	"2001"	"2001"	"15 years"	"15"	168	4083878	4.1
	"2001"	"2001"	"16 years"	"16"	248	4108304	6.0
	"2001"	"2001"	"17 years"	"17"	330	4028736	8.2
	"2001"	"2001"	"18 years"	"18"	371	4102851	9.0
	"2001"	"2001"	"19 years"	"19"	488	4132515	11.8
	"2001"	"2001"	"20 years"	"20"	436	4156725	10.5
	"2001"	"2001"	"21 years"	"21"	533	4133311	12.9
	"2001"	"2001"	"22 years"	"22"	473	3919316	12.1
	"2001"	"2001"	"23 years"	"23"	438	3798554	11.5
	"2001"	"2001"	"24 years"	"24"	478	3749380	12.7
	"2001"	"2001"	"25 years"	"25"	446	3659719	12.2
	"2001"	"2001"	"26 years"	"26"	468	3768152	12.4
	"2001"	"2001"	"27 years"	"27"	467	3668700	12.7
	"2001"	"2001"	"28 years"	"28"	498	3766129	13.2
	"2001"	"2001"	"29 years"	"29"	505	3956647	12.8
	"2001"	"2001"	"30 years"	"30"	546	4218260	12.9
	"2001"	"2001"	"31 years"	"31"	554	4302689	12.9
	"2001"	"2001"	"32 years"	"32"	504	4082902	12.3
	"2001"	"2001"	"33 years"	"33"	533	4014912	13.3
	"2001"	"2001"	"34 years"	"34"	538	4033412	13.3
	"2001"	"2001"	"35 years"	"35"	582	4161140	14.0
	"2001"	"2001"	"36 years"	"36"	595	4457678	13.3
	"2001"	"2001"	"37 years"	"37"	638	4534648	14.1
	"2001"	"2001"	"38 years"	"38"	652	4529329	14.4
	"2001"	"2001"	"39 years"	"39"	703	4553123	15.4
	"2001"	"2001"	"40 years"	"40"	701	4606601	15.2
	"2001"	"2001"	"41 years"	"41"	700	4700471	14.9
	"2001"	"2001"	"42 years"	"42"	657	4514435	14.6
	"2001"	"2001"	"43 years"	"43"	707	4523433	15.6
	"2001"	"2001"	"44 years"	"44"	686	4470894	15.3
	"2001"	"2001"	"45 years"	"45"	639	4301955	14.9
	"2001"	"2001"	"46 years"	"46"	651	4331582	15.0
	"2001"	"2001"	"47 years"	"47"	689	4152347	16.6
	"2001"	"2001"	"48 years"	"48"	651	4018921	16.2
	"2001"	"2001"	"49 years"	"49"	612	3894178	15.7
	"2001"	"2001"	"50 years"	"50"	607	3796146	16.0
	"2001"	"2001"	"51 years"	"51"	526	3796980	13.9
	"2001"	"2001"	"52 years"	"52"	520	3654405	14.2
	"2001"	"2001"	"53 years"	"53"	518	3631014	14.3
	"2001"	"2001"	"54 years"	"54"	504	3808740	13.2
	"2001"	"2001"	"55 years"	"55"	430	2851092	15.1
	"2001"	"2001"	"56 years"	"56"	391	2846838	13.7
	"2001"	"2001"	"57 years"	"57"	394	2805407	14.0
	"2001"	"2001"	"58 years"	"58"	418	2900132	14.4
	"2001"	"2001"	"59 years"	"59"	346	2565506	13.5
	"2001"	"2001"	"60 years"	"60"	302	2380300	12.7
	"2001"	"2001"	"61 years"	"61"	268	2323707	11.5
	"2001"	"2001"	"62 years"	"62"	264	2213270	11.9
	"2001"	"2001"	"63 years"	"63"	252	2172024	11.6
	"2001"	"2001"	"64 years"	"64"	242	2047019	11.8
	"2001"	"2001"	"65 years"	"65"	235	2012270	11.7
	"2001"	"2001"	"66 years"	"66"	245	2013441	12.2
	"2001"	"2001"	"67 years"	"67"	247	1850485	13.3
	"2001"	"2001"	"68 years"	"68"	225	1852792	12.1
	"2001"	"2001"	"69 years"	"69"	259	1833245	14.1
	"2001"	"2001"	"70 years"	"70"	247	1817859	13.6
	"2001"	"2001"	"71 years"	"71"	256	1844676	13.9
	"2001"	"2001"	"72 years"	"72"	211	1743767	12.1
	"2001"	"2001"	"73 years"	"73"	262	1733630	15.1
	"2001"	"2001"	"74 years"	"74"	242	1682014	14.4
	"2001"	"2001"	"75 years"	"75"	250	1610892	15.5
	"2001"	"2001"	"76 years"	"76"	280	1589103	17.6
	"2001"	"2001"	"77 years"	"77"	248	1503097	16.5
	"2001"	"2001"	"78 years"	"78"	226	1405933	16.1
	"2001"	"2001"	"79 years"	"79"	215	1346388	16.0
	"2001"	"2001"	"80 years"	"80"	234	1254832	18.6
	"2001"	"2001"	"81 years"	"81"	197	1154138	17.1
	"2001"	"2001"	"82 years"	"82"	190	993071	19.1
	"2001"	"2001"	"83 years"	"83"	192	927192	20.7
	"2001"	"2001"	"84 years"	"84"	160	808972	19.8
	"2001"	"2001"	"85 years"	"85"	131	Not Applicable	Not Applicable
	"2001"	"2001"	"86 years"	"86"	111	Not Applicable	Not Applicable
	"2001"	"2001"	"87 years"	"87"	107	Not Applicable	Not Applicable
	"2001"	"2001"	"88 years"	"88"	93	Not Applicable	Not Applicable
	"2001"	"2001"	"89 years"	"89"	94	Not Applicable	Not Applicable
	"2001"	"2001"	"90 years"	"90"	56	Not Applicable	Not Applicable
	"2001"	"2001"	"91 years"	"91"	62	Not Applicable	Not Applicable
	"2001"	"2001"	"92 years"	"92"	35	Not Applicable	Not Applicable
	"2001"	"2001"	"93 years"	"93"	26	Not Applicable	Not Applicable
	"2001"	"2001"	"94 years"	"94"	21	Not Applicable	Not Applicable
	"2001"	"2001"	"95 years"	"95"	10	Not Applicable	Not Applicable
	"2002"	"2002"	"10 years"	"10"	16	4243816	Unreliable
	"2002"	"2002"	"11 years"	"11"	22	4295720	0.5
	"2002"	"2002"	"12 years"	"12"	43	4380351	1.0
	"2002"	"2002"	"13 years"	"13"	76	4209025	1.8
	"2002"	"2002"	"14 years"	"14"	103	4132509	2.5
	"2002"	"2002"	"15 years"	"15"	164	4097876	4.0
	"2002"	"2002"	"16 years"	"16"	241	4126961	5.8
	"2002"	"2002"	"17 years"	"17"	305	4148590	7.4
	"2002"	"2002"	"18 years"	"18"	356	4084316	8.7
	"2002"	"2002"	"19 years"	"19"	445	4152627	10.7
	"2002"	"2002"	"20 years"	"20"	460	4158896	11.1
	"2002"	"2002"	"21 years"	"21"	508	4182678	12.1
	"2002"	"2002"	"22 years"	"22"	518	4145736	12.5
	"2002"	"2002"	"23 years"	"23"	497	3936927	12.6
	"2002"	"2002"	"24 years"	"24"	510	3819528	13.4
	"2002"	"2002"	"25 years"	"25"	478	3779169	12.6
	"2002"	"2002"	"26 years"	"26"	440	3669915	12.0
	"2002"	"2002"	"27 years"	"27"	479	3791713	12.6
	"2002"	"2002"	"28 years"	"28"	516	3682001	14.0
	"2002"	"2002"	"29 years"	"29"	503	3768542	13.3
	"2002"	"2002"	"30 years"	"30"	505	3994164	12.6
	"2002"	"2002"	"31 years"	"31"	577	4210913	13.7
	"2002"	"2002"	"32 years"	"32"	469	4330977	10.8
	"2002"	"2002"	"33 years"	"33"	540	4095531	13.2
	"2002"	"2002"	"34 years"	"34"	530	4026721	13.2
	"2002"	"2002"	"35 years"	"35"	539	4050190	13.3
	"2002"	"2002"	"36 years"	"36"	568	4168398	13.6
	"2002"	"2002"	"37 years"	"37"	638	4459389	14.3
	"2002"	"2002"	"38 years"	"38"	682	4538848	15.0
	"2002"	"2002"	"39 years"	"39"	707	4534393	15.6
	"2002"	"2002"	"40 years"	"40"	732	4551912	16.1
	"2002"	"2002"	"41 years"	"41"	778	4610846	16.9
	"2002"	"2002"	"42 years"	"42"	715	4699196	15.2
	"2002"	"2002"	"43 years"	"43"	731	4515522	16.2
	"2002"	"2002"	"44 years"	"44"	748	4511955	16.6
	"2002"	"2002"	"45 years"	"45"	727	4461379	16.3
	"2002"	"2002"	"46 years"	"46"	709	4301101	16.5
	"2002"	"2002"	"47 years"	"47"	717	4330110	16.6
	"2002"	"2002"	"48 years"	"48"	665	4143330	16.0
	"2002"	"2002"	"49 years"	"49"	647	4016368	16.1
	"2002"	"2002"	"50 years"	"50"	640	3881009	16.5
	"2002"	"2002"	"51 years"	"51"	613	3797199	16.1
	"2002"	"2002"	"52 years"	"52"	526	3785188	13.9
	"2002"	"2002"	"53 years"	"53"	508	3650409	13.9
	"2002"	"2002"	"54 years"	"54"	543	3626101	15.0
	"2002"	"2002"	"55 years"	"55"	498	3788111	13.1
	"2002"	"2002"	"56 years"	"56"	450	2846712	15.8
	"2002"	"2002"	"57 years"	"57"	412	2833628	14.5
	"2002"	"2002"	"58 years"	"58"	392	2792832	14.0
	"2002"	"2002"	"59 years"	"59"	432	2881784	15.0
	"2002"	"2002"	"60 years"	"60"	329	2540735	12.9
	"2002"	"2002"	"61 years"	"61"	299	2370358	12.6
	"2002"	"2002"	"62 years"	"62"	290	2306156	12.6
	"2002"	"2002"	"63 years"	"63"	274	2195850	12.5
	"2002"	"2002"	"64 years"	"64"	235	2147166	10.9
	"2002"	"2002"	"65 years"	"65"	258	2025379	12.7
	"2002"	"2002"	"66 years"	"66"	217	1986541	10.9
	"2002"	"2002"	"67 years"	"67"	250	1986526	12.6
	"2002"	"2002"	"68 years"	"68"	232	1821142	12.7
	"2002"	"2002"	"69 years"	"69"	238	1818893	13.1
	"2002"	"2002"	"70 years"	"70"	253	1792760	14.1
	"2002"	"2002"	"71 years"	"71"	243	1782107	13.6
	"2002"	"2002"	"72 years"	"72"	269	1797946	15.0
	"2002"	"2002"	"73 years"	"73"	263	1697450	15.5
	"2002"	"2002"	"74 years"	"74"	237	1679791	14.1
	"2002"	"2002"	"75 years"	"75"	250	1620812	15.4
	"2002"	"2002"	"76 years"	"76"	271	1554475	17.4
	"2002"	"2002"	"77 years"	"77"	239	1522890	15.7
	"2002"	"2002"	"78 years"	"78"	232	1436185	16.2
	"2002"	"2002"	"79 years"	"79"	237	1336099	17.7
	"2002"	"2002"	"80 years"	"80"	242	1269310	19.1
	"2002"	"2002"	"81 years"	"81"	217	1180698	18.4
	"2002"	"2002"	"82 years"	"82"	224	1075053	20.8
	"2002"	"2002"	"83 years"	"83"	168	919945	18.3
	"2002"	"2002"	"84 years"	"84"	176	849397	20.7
	"2002"	"2002"	"85 years"	"85"	128	Not Applicable	Not Applicable
	"2002"	"2002"	"86 years"	"86"	135	Not Applicable	Not Applicable
	"2002"	"2002"	"87 years"	"87"	113	Not Applicable	Not Applicable
	"2002"	"2002"	"88 years"	"88"	97	Not Applicable	Not Applicable
	"2002"	"2002"	"89 years"	"89"	95	Not Applicable	Not Applicable
	"2002"	"2002"	"90 years"	"90"	66	Not Applicable	Not Applicable
	"2002"	"2002"	"91 years"	"91"	53	Not Applicable	Not Applicable
	"2002"	"2002"	"92 years"	"92"	40	Not Applicable	Not Applicable
	"2002"	"2002"	"93 years"	"93"	28	Not Applicable	Not Applicable
	"2002"	"2002"	"94 years"	"94"	23	Not Applicable	Not Applicable
	"2002"	"2002"	"95 years"	"95"	14	Not Applicable	Not Applicable
	"2002"	"2002"	"96 years"	"96"	10	Not Applicable	Not Applicable
	"2003"	"2003"	"11 years"	"11"	15	4254047	Unreliable
	"2003"	"2003"	"12 years"	"12"	38	4332987	0.9
	"2003"	"2003"	"13 years"	"13"	68	4401393	1.5
	"2003"	"2003"	"14 years"	"14"	114	4221884	2.7
	"2003"	"2003"	"15 years"	"15"	163	4172654	3.9
	"2003"	"2003"	"16 years"	"16"	230	4139141	5.6
	"2003"	"2003"	"17 years"	"17"	274	4160313	6.6
	"2003"	"2003"	"18 years"	"18"	367	4201835	8.7
	"2003"	"2003"	"19 years"	"19"	452	4123223	11.0
	"2003"	"2003"	"20 years"	"20"	487	4156877	11.7
	"2003"	"2003"	"21 years"	"21"	537	4167554	12.9
	"2003"	"2003"	"22 years"	"22"	487	4175294	11.7
	"2003"	"2003"	"23 years"	"23"	510	4147777	12.3
	"2003"	"2003"	"24 years"	"24"	473	3944186	12.0
	"2003"	"2003"	"25 years"	"25"	449	3842468	11.7
	"2003"	"2003"	"26 years"	"26"	462	3771710	12.2
	"2003"	"2003"	"27 years"	"27"	447	3688646	12.1
	"2003"	"2003"	"28 years"	"28"	446	3794838	11.8
	"2003"	"2003"	"29 years"	"29"	464	3673923	12.6
	"2003"	"2003"	"30 years"	"30"	501	3813536	13.1
	"2003"	"2003"	"31 years"	"31"	527	3973726	13.3
	"2003"	"2003"	"32 years"	"32"	609	4245067	14.3
	"2003"	"2003"	"33 years"	"33"	559	4337299	12.9
	"2003"	"2003"	"34 years"	"34"	588	4102582	14.3
	"2003"	"2003"	"35 years"	"35"	538	4042650	13.3
	"2003"	"2003"	"36 years"	"36"	527	4051962	13.0
	"2003"	"2003"	"37 years"	"37"	608	4165007	14.6
	"2003"	"2003"	"38 years"	"38"	631	4462051	14.1
	"2003"	"2003"	"39 years"	"39"	650	4542489	14.3
	"2003"	"2003"	"40 years"	"40"	681	4529389	15.0
	"2003"	"2003"	"41 years"	"41"	735	4556844	16.1
	"2003"	"2003"	"42 years"	"42"	731	4606465	15.9
	"2003"	"2003"	"43 years"	"43"	749	4699388	15.9
	"2003"	"2003"	"44 years"	"44"	741	4497961	16.5
	"2003"	"2003"	"45 years"	"45"	723	4499971	16.1
	"2003"	"2003"	"46 years"	"46"	715	4462427	16.0
	"2003"	"2003"	"47 years"	"47"	677	4300483	15.7
	"2003"	"2003"	"48 years"	"48"	671	4317939	15.5
	"2003"	"2003"	"49 years"	"49"	695	4141856	16.8
	"2003"	"2003"	"50 years"	"50"	650	3998812	16.3
	"2003"	"2003"	"51 years"	"51"	637	3886144	16.4
	"2003"	"2003"	"52 years"	"52"	588	3782009	15.5
	"2003"	"2003"	"53 years"	"53"	558	3783390	14.7
	"2003"	"2003"	"54 years"	"54"	556	3646923	15.2
	"2003"	"2003"	"55 years"	"55"	505	3601691	14.0
	"2003"	"2003"	"56 years"	"56"	532	3785668	14.1
	"2003"	"2003"	"57 years"	"57"	420	2831596	14.8
	"2003"	"2003"	"58 years"	"58"	452	2821608	16.0
	"2003"	"2003"	"59 years"	"59"	401	2773994	14.5
	"2003"	"2003"	"60 years"	"60"	381	2849408	13.4
	"2003"	"2003"	"61 years"	"61"	342	2534959	13.5
	"2003"	"2003"	"62 years"	"62"	291	2352131	12.4
	"2003"	"2003"	"63 years"	"63"	265	2289143	11.6
	"2003"	"2003"	"64 years"	"64"	245	2168747	11.3
	"2003"	"2003"	"65 years"	"65"	259	2125962	12.2
	"2003"	"2003"	"66 years"	"66"	220	1999916	11.0
	"2003"	"2003"	"67 years"	"67"	247	1961151	12.6
	"2003"	"2003"	"68 years"	"68"	226	1955990	11.6
	"2003"	"2003"	"69 years"	"69"	212	1787777	11.9
	"2003"	"2003"	"70 years"	"70"	221	1777336	12.4
	"2003"	"2003"	"71 years"	"71"	214	1760292	12.2
	"2003"	"2003"	"72 years"	"72"	231	1736351	13.3
	"2003"	"2003"	"73 years"	"73"	253	1751589	14.4
	"2003"	"2003"	"74 years"	"74"	249	1644551	15.1
	"2003"	"2003"	"75 years"	"75"	253	1617308	15.6
	"2003"	"2003"	"76 years"	"76"	236	1567629	15.1
	"2003"	"2003"	"77 years"	"77"	209	1489790	14.0
	"2003"	"2003"	"78 years"	"78"	239	1456995	16.4
	"2003"	"2003"	"79 years"	"79"	217	1366120	15.9
	"2003"	"2003"	"80 years"	"80"	212	1259724	16.8
	"2003"	"2003"	"81 years"	"81"	220	1196760	18.4
	"2003"	"2003"	"82 years"	"82"	204	1100969	18.5
	"2003"	"2003"	"83 years"	"83"	177	997727	17.7
	"2003"	"2003"	"84 years"	"84"	142	843416	16.8
	"2003"	"2003"	"85 years"	"85"	143	Not Applicable	Not Applicable
	"2003"	"2003"	"86 years"	"86"	119	Not Applicable	Not Applicable
	"2003"	"2003"	"87 years"	"87"	101	Not Applicable	Not Applicable
	"2003"	"2003"	"88 years"	"88"	104	Not Applicable	Not Applicable
	"2003"	"2003"	"89 years"	"89"	90	Not Applicable	Not Applicable
	"2003"	"2003"	"90 years"	"90"	65	Not Applicable	Not Applicable
	"2003"	"2003"	"91 years"	"91"	51	Not Applicable	Not Applicable
	"2003"	"2003"	"92 years"	"92"	37	Not Applicable	Not Applicable
	"2003"	"2003"	"93 years"	"93"	31	Not Applicable	Not Applicable
	"2003"	"2003"	"94 years"	"94"	21	Not Applicable	Not Applicable
	"2003"	"2003"	"95 years"	"95"	12	Not Applicable	Not Applicable
	"2004"	"2004"	"10 years"	"10"	12	4151951	Unreliable
	"2004"	"2004"	"11 years"	"11"	18	4207721	Unreliable
	"2004"	"2004"	"12 years"	"12"	37	4293550	0.9
	"2004"	"2004"	"13 years"	"13"	88	4350199	2.0
	"2004"	"2004"	"14 years"	"14"	128	4408259	2.9
	"2004"	"2004"	"15 years"	"15"	177	4264863	4.2
